Theme,Model,Accuracy,F1 Score,Precision,Recall
Economic consequences,GPT-4.1,0.901,0.664,0.677,0.654
Crime/safety,GPT-4.1,0.892,0.774,0.768,0.780
Family,GPT-4.1,0.971,0.811,0.756,0.900
Immigrant wellbeing,GPT-4.1,0.815,0.717,0.695,0.763
Culture/society,GPT-4.1,0.910,0.608,0.580,0.742
Politics,GPT-4.1,0.878,0.860,0.898,0.843
Legislation/regulation,GPT-4.1,0.724,0.716,0.715,0.726
Public opinion,GPT-4.1,0.934,0.572,0.609,0.556
Economic consequences,GPT-4.1 (Finetuned with 200 samples),0.883,0.646,0.640,0.653
Crime/safety,GPT-4.1 (Finetuned with 200 samples),0.878,0.726,0.737,0.716
Family,GPT-4.1 (Finetuned with 200 samples),0.973,0.790,0.769,0.815
Immigrant wellbeing,GPT-4.1 (Finetuned with 200 samples),0.801,0.695,0.676,0.737
Culture/society,GPT-4.1 (Finetuned with 200 samples),0.912,0.600,0.574,0.712
Politics,GPT-4.1 (Finetuned with 200 samples),0.873,0.857,0.880,0.844
Legislation/regulation,GPT-4.1 (Finetuned with 200 samples),0.752,0.738,0.738,0.739
Public opinion,GPT-4.1 (Finetuned with 200 samples),0.932,0.586,0.616,0.571
Economic consequences,GPT-4.1 (Finetuned with 400 samples),0.898,0.666,0.671,0.661
Crime/safety,GPT-4.1 (Finetuned with 400 samples),0.883,0.736,0.750,0.724
Family,GPT-4.1 (Finetuned with 400 samples),0.973,0.779,0.771,0.787
Immigrant wellbeing,GPT-4.1 (Finetuned with 400 samples),0.826,0.714,0.698,0.739
Culture/society,GPT-4.1 (Finetuned with 400 samples),0.944,0.669,0.630,0.759
Politics,GPT-4.1 (Finetuned with 400 samples),0.876,0.864,0.872,0.859
Legislation/regulation,GPT-4.1 (Finetuned with 400 samples),0.738,0.721,0.722,0.720
Public opinion,GPT-4.1 (Finetuned with 400 samples),0.930,0.567,0.594,0.554
Economic consequences,GPT-4.1 (Finetuned with 600 samples),0.901,0.684,0.685,0.682
Crime/safety,GPT-4.1 (Finetuned with 600 samples),0.883,0.733,0.751,0.719
Family,GPT-4.1 (Finetuned with 600 samples),0.973,0.790,0.769,0.815
Immigrant wellbeing,GPT-4.1 (Finetuned with 600 samples),0.819,0.711,0.693,0.743
Culture/society,GPT-4.1 (Finetuned with 600 samples),0.919,0.584,0.563,0.655
Politics,GPT-4.1 (Finetuned with 600 samples),0.847,0.835,0.836,0.835
Legislation/regulation,GPT-4.1 (Finetuned with 600 samples),0.763,0.750,0.749,0.751
Public opinion,GPT-4.1 (Finetuned with 600 samples),0.928,0.565,0.587,0.553
Economic consequences,GPT-4.1 (Finetuned with 800 samples),0.901,0.689,0.688,0.691
Crime/safety,GPT-4.1 (Finetuned with 800 samples),0.905,0.787,0.800,0.776
Family,GPT-4.1 (Finetuned with 800 samples),0.978,0.807,0.827,0.789
Immigrant wellbeing,GPT-4.1 (Finetuned with 800 samples),0.824,0.717,0.699,0.746
Culture/society,GPT-4.1 (Finetuned with 800 samples),0.930,0.614,0.586,0.691
Politics,GPT-4.1 (Finetuned with 800 samples),0.817,0.805,0.802,0.809
Legislation/regulation,GPT-4.1 (Finetuned with 800 samples),0.761,0.747,0.747,0.748
Public opinion,GPT-4.1 (Finetuned with 800 samples),0.934,0.589,0.624,0.572
Economic consequences,GPT-4.1 (Finetuned with 1000 samples),0.923,0.627,0.810,0.590
Crime/safety,GPT-4.1 (Finetuned with 1000 samples),0.905,0.795,0.796,0.793
Family,GPT-4.1 (Finetuned with 1000 samples),0.991,0.926,0.915,0.938
Immigrant wellbeing,GPT-4.1 (Finetuned with 1000 samples),0.811,0.676,0.668,0.687
Culture/society,GPT-4.1 (Finetuned with 1000 samples),0.914,0.634,0.597,0.804
Politics,GPT-4.1 (Finetuned with 1000 samples),0.869,0.860,0.858,0.862
Legislation/regulation,GPT-4.1 (Finetuned with 1000 samples),0.767,0.749,0.754,0.745
Public opinion,GPT-4.1 (Finetuned with 1000 samples),0.935,0.592,0.633,0.573
Economic consequences,GPT-5 (reasoning),0.925,0.605,0.900,0.572
Crime/safety,GPT-5 (reasoning),0.899,0.708,0.856,0.660
Family,GPT-5 (reasoning),0.984,0.816,0.992,0.735
Immigrant wellbeing,GPT-5 (reasoning),0.847,0.706,0.721,0.695
Culture/society,GPT-5 (reasoning),0.948,0.678,0.639,0.761
Politics,GPT-5 (reasoning),0.907,0.894,0.925,0.878
Legislation/regulation,GPT-5 (reasoning),0.704,0.701,0.708,0.720
Public opinion,GPT-5 (reasoning),0.934,0.736,0.700,0.792
Economic consequences,GPT-5 (non-reasoning),0.917,0.379,0.545,0.366
Crime/safety,GPT-5 (non-reasoning),0.896,0.502,0.528,0.484
Family,GPT-5 (non-reasoning),0.978,0.481,0.660,0.431
Immigrant wellbeing,GPT-5 (non-reasoning),0.824,0.416,0.441,0.405
Culture/society,GPT-5 (non-reasoning),0.964,0.498,0.475,0.533
Politics,GPT-5 (non-reasoning),0.867,0.568,0.582,0.560
Legislation/regulation,GPT-5 (non-reasoning),0.707,0.463,0.462,0.465
Public opinion,GPT-5 (non-reasoning),0.941,0.402,0.457,0.384
Economic consequences,GPT-5-nano (reasoning),0.916,0.565,0.739,0.548
Crime/safety,GPT-5-nano (reasoning),0.901,0.711,0.869,0.661
Family,GPT-5-nano (reasoning),0.986,0.842,0.993,0.765
Immigrant wellbeing,GPT-5-nano (reasoning),0.819,0.622,0.648,0.608
Culture/society,GPT-5-nano (reasoning),0.925,0.576,0.559,0.628
Politics,GPT-5-nano (reasoning),0.851,0.823,0.889,0.802
Legislation/regulation,GPT-5-nano (reasoning),0.659,0.658,0.729,0.712
Public opinion,GPT-5-nano (reasoning),0.917,0.658,0.638,0.689
Economic consequences,GPT-5-nano (non-reasoning),0.901,0.508,0.549,0.512
Crime/safety,GPT-5-nano (non-reasoning),0.829,0.483,0.490,0.496
Family,GPT-5-nano (non-reasoning),0.969,0.492,0.485,0.500
Immigrant wellbeing,GPT-5-nano (non-reasoning),0.835,0.504,0.670,0.522
Culture/society,GPT-5-nano (non-reasoning),0.973,0.552,0.987,0.531
Politics,GPT-5-nano (non-reasoning),0.609,0.608,0.673,0.665
Legislation/regulation,GPT-5-nano (non-reasoning),0.619,0.542,0.577,0.553
Public opinion,GPT-5-nano (non-reasoning),0.928,0.565,0.587,0.553